Function    Average-Best-So-Far     Median-Best-So-Far   Average-Mean-Fitness
------------------------------------------------------------------------------
F1          1.4113e-17              7.3156e-08           2.1825e-17
F2          1.7284e-08              1.5643e-03           2.3227e-08
F3          2.8246e+02              2.8310e+02           2.8246e+02
F4          2.5825e-09              1.3571e-04           3.1855e-09
F5          2.6141e+01              2.6254e+01           2.6141e+01
F6
F7          6.3084e-03              6.3084e-03           4.9270e-01
F8         -2.7220e+03             -2.7220e+03          -1.2730e+03
F9          1.3929e+01              1.3929e+01           1.3929e+01
F10         3.6244e-09              2.1721e-06           4.6756e-09
F11         2.0664e+01              2.0672e+01           2.0664e+01
F12         1.0367e-01              0.1036e-01           0.1036e-01
F13         2.2029e-18              9.7862e-09           4.0957e-18
F14         3.0006                  3.00036              1.6440e+01
F15         3.27552                 3.27552              1.4563e+01
F16         2.5990e-03              2.7171e-03           2.5990e-03
F17        -1.03163                -1.03163             -1.03163
F18         3.0000                  3.0000               3.0000
F19        -3.8628                 -3.8628              -3.8628
F20        -3.3220                 -3.3220              -3.3220
F21        -1.0153e+01             -1.0153e+01          -1.0153e+01
F22        -1.0402e+01             -1.0402e+01          -1.0402e+01
F23        -1.0536e+01             -1.0536e+01          -1.0536e+01
